title,author,genre,price,quantity,description
The Great Gatsby,F. Scott Fitzgerald,Classics,699,15,A classic novel about the American Dream.
To Kill a Mockingbird,Harper Lee,Classics,849,12,A powerful story about racial injustice.
1984,George Orwell,Science Fiction,799,20,A dystopian tale of a totalitarian society.
Pride and Prejudice,Jane Austen,Romance,649,18,A timeless love story set in the 19th century.
The Catcher in the Rye,J.D. Salinger,Classics,599,14,A coming-of-age novel about teenage rebellion.
The Hobbit,J.R.R. Tolkien,Fantasy,899,10,An epic fantasy adventure featuring Bilbo Baggins.
The Da Vinci Code,Dan Brown,Mystery,949,22,A thriller that unravels a religious mystery.
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,999,25,The first book in the beloved Harry Potter series.
The Hunger Games,Suzanne Collins,Science Fiction,749,17,A dystopian tale of survival and rebellion.
Gone Girl,Gillian Flynn,Thriller,799,13,A psychological thriller about a missing woman.
Lord of the Flies,William Golding,Classics,699,16,A novel about the descent into savagery.
The Alchemist,Paulo Coelho,Adventure,649,19,A philosophical novel about following one's dreams.
Brave New World,Aldous Huxley,Science Fiction,749,18,A dystopian vision of the future.
The Shining,Stephen King,Horror,899,15,A horror novel set in a haunted hotel.
The Road,Cormac McCarthy,Dystopian,799,14,A post-apocalyptic tale of survival.
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,749,16,A gripping mystery novel.
Moby-Dick,Herman Melville,Classics,799,12,A classic novel about a man and a whale.
The Martian,Andy Weir,Science Fiction,849,17,An astronaut's struggle for survival on Mars.
The Handmaid's Tale,Margaret Atwood,Dystopian,799,18,A dystopian society where women are oppressed.
The Odyssey,Homer,Classics,699,20,An ancient Greek epic of adventure and heroism.
The Road Less Traveled,M. Scott Peck,Psychology,649,19,A self-help book on personal growth.
The Silent Patient,Alex Michaelides,Thriller,749,13,A psychological thriller about a mute patient.
One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,849,16,A masterpiece of magical realism.
The Old Man and the Sea,Ernest Hemingway,Classics,699,15,A novella about an old fisherman's battle with a marlin.
War and Peace,Leo Tolstoy,Classics,799,8,A sprawling epic of love and war.
Crime and Punishment,Fyodor Dostoevsky,Classics,749,7,A psychological novel about a young man's moral struggles.
The Road to Wigan Pier,George Orwell,Non-fiction,699,5,An exploration of working-class life in England.
The Odyssey,Homer,Classics,799,6,An ancient Greek epic of adventure and heroism.
The Road Less Traveled,M. Scott Peck,Psychology,649,7,A self-help book on personal growth.
The Silent Patient,Alex Michaelides,Thriller,749,4,A psychological thriller about a mute patient.
The Girl on the Train,Paula Hawkins,Mystery,799,10,A gripping psychological thriller.
The Catcher in the Rye,J.D. Salinger,Classics,699,9,A coming-of-age novel about teenage rebellion.
The Goldfinch,Donna Tartt,Literary Fiction,899,12,A novel about a stolen painting and its impact on a young man's life.
The Book Thief,Markus Zusak,Historical Fiction,749,8,A story narrated by Death during World War II.
To Kill a Mockingbird,Harper Lee,Classics,849,7,A powerful story about racial injustice.
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,899,10,A gripping mystery novel.
The Road Cormac,McCarthy,Dystopian,799,6,A post-apocalyptic tale of survival.
The Hobbit,J.R.R. Tolkien,Fantasy,649,11,An epic fantasy adventure featuring Bilbo Baggins.
The Alchemist,Paulo Coelho,Adventure,749,14,A philosophical novel about following one's dreams.
The Da Vinci Code,Dan Brown,Mystery,799,9,A thriller that unravels a religious mystery.
The Catcher in the Rye,J.D. Salinger,Classics,699,8,A coming-of-age novel about teenage rebellion.
The Girl on the Train,Paula Hawkins,Mystery,899,12,A gripping psychological thriller.
The Goldfinch,Donna Tartt,Literary Fiction,799,11,A novel about a stolen painting and its impact on a young man's life.
The Book Thief,Markus Zusak,Historical Fiction,749,15,A story narrated by Death during World War II.
The Road Cormac,McCarthy,Dystopian,699,13,A post-apocalyptic tale of survival.
The Da Vinci Code,Dan Brown,Mystery,799,16,A thriller that unravels a religious mystery.
The Shining,Stephen King,Horror,849,9,A horror novel set in a haunted hotel.
The Handmaid's Tale,Margaret Atwood,Dystopian,799,10,A dystopian society where women are oppressed.
One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,649,8,A masterpiece of magical realism.
The Old Man and the Sea,Ernest Hemingway,Classics,699,14,A novella about an old fisherman's battle with a marlin.
Crime and Punishment,Fyodor Dostoevsky,Classics,799,7,A psychological novel about a young man's moral struggles.
The Road to Wigan Pier,George Orwell,Non-fiction,749,12,An exploration of working-class life in England.

