title,author,genre,price,quantity,description
The Great Gatsby,F. Scott Fitzgerald,Fiction,499,50,A classic novel about the American Dream' set in the roaring 1920s
To Kill a Mockingbird,Harper Lee,Fiction,399,40,A powerful story of racial injustice in the American South' seen through the eyes of a young girl.
1984,George Orwell,Science Fiction,549,30,A dystopian masterpiece that explores surveillance and totalitarianism in a grim future.
Pride and Prejudice,Jane Austen,Romance,349,60,A timeless romance between Elizabeth Bennet and Mr. Darcy in 19th-century England.
The Catcher in the Rye,J.D. Salinger,Fiction,449,55,A coming-of-age novel following the adventures of Holden Caulfield in New York City.
The Hobbit,J.R.R. Tolkien,Fantasy,599,45,Join Bilbo Baggins on an epic journey through Middle-earth in this fantasy classic.
Brave New World,Aldous Huxley,Science Fiction,499,25,A thought-provoking vision of a future society driven by technology and consumerism.
Moby-Dick,Herman Melville,Adventure,649,35,Embark on a whaling voyage with Captain Ahab in pursuit of the elusive white whale.
The Lord of the Rings,J.R.R. Tolkien,Fantasy,699,60,Follow Frodo Baggins and his companions on a quest to destroy the One Ring and save Middle-earth.
War and Peace,Leo Tolstoy,Classics,799,20,A sweeping epic of love and war set against the backdrop of 19th-century Russia.
Crime and Punishment,Fyodor Dostoevsky,Classics,399,40,Delve into the tortured mind of Raskolnikov as he grapples with morality and guilt.
The Alchemist,Paulo Coelho,Adventure,349,55,Follow Santiago on a journey of self-discovery and fulfillment in this philosophical novel.
The Odyssey,Homer,Classics,449,50,Join Odysseus on his epic voyage home after the Trojan War' encountering gods and monsters.
One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism,499,35,A multi-generational tale of the Buendía family in the fictional town of Macondo.
Frankenstein,Mary Shelley,Science Fiction,399,40,Explore the consequences of scientific experimentation and the creation of life.
The Brothers Karamazov,Fyodor Dostoevsky,Classics,599,25,A complex family drama and exploration of faith and doubt.
The Road,Cormac McCarthy,Post-Apocalyptic,449,30,A father and son's harrowing journey through a post-apocalyptic wasteland.
The Count of Monte Cristo,Alexandre Dumas,Adventure,649,40,A tale of revenge and redemption as Edmond Dantès seeks justice.
The Picture of Dorian Gray,Oscar Wilde,Classics,349,35,A novel about the corrupting influence of beauty and youth.
Heart of Darkness,Joseph Conrad,Classics,499,45,A journey into the heart of Africa and the darkness within the human soul.
Alice's Adventures in Wonderland,Lewis Carroll,Fantasy,399,40,Follow Alice as she falls down the rabbit hole into a whimsical and fantastical world.
The Shining,Stephen King,Horror,449,30,A psychological horror novel set in a haunted hotel' where isolation drives a family to madness.
The Little Prince,Antoine de Saint-Exupéry,Children's Fiction,299,55,A beloved tale of a young prince's journey across the universe and his encounters with various characters.
The Grapes of Wrath,John Steinbeck,Classics,399,50,An exploration of the struggles of the Joad family during the Great Depression.
The Name of the Wind,Patrick Rothfuss,Fantasy,549,40,The first book in the Kingkiller Chronicle series' following the life of Kvothe' a gifted young musician and magician.
The Book Thief,Markus Zusak,Historical Fiction,449,45,Set in Nazi Germany' this novel is narrated by Death and tells the story of Liesel Meminger' a young girl with a passion for books.
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,399,60,Join Arthur Dent on a hilarious journey through space and time with the help of the Hitchhiker's Guide.
The Great Expectations,Charles Dickens,Classics,499,35,Follow the life of Pip' an orphan who dreams of becoming a gentleman' in this Dickensian classic.
The Chronicles of Narnia,C.S. Lewis,Fantasy,599,30,Step through the wardrobe into the magical world of Narnia' where epic adventures await.
The Wind-Up Bird Chronicle,Haruki Murakami,Magic Realism,549,40,A surreal and enigmatic tale of a man's search for his missing wife and the strange encounters he has along the way.
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,449,50,A gripping mystery involving journalist Mikael Blomkvist and hacker Lisbeth Salander.
The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,399,55,Sherlock Holmes and Dr. Watson investigate a supernatural legend on the moors of Devonshire.
The Road Less Traveled,M. Scott Peck,Self-Help,349,60,A bestselling self-help book that explores the path to spiritual growth and fulfillment.
The Secret Garden,Frances Hodgson Burnett,Children's Fiction,299,70,A heartwarming story of a lonely girl who discovers a hidden' neglected garden.
The Hunger Games,Suzanne Collins,Science Fiction,499,40,In a dystopian future' Katniss Everdeen fights for survival in a brutal televised competition.
The Girl on the Train,Paula Hawkins,Thriller,449,45,A psychological thriller that explores the dark secrets of three women connected by a train journey.
The Da Vinci Code,Dan Brown,Adventure,549,35,Professor Robert Langdon unravels a complex mystery involving art' religion' and hidden codes.
The Silent Patient,Alex Michaelides,Thriller,499,50,A psychotherapist attempts to unravel the mystery of a woman who has remained silent for years after committing a brutal murder.
The Goldfinch,Donna Tartt,Contemporary Fiction,599,30,Follow the life of Theo Decker as he becomes entangled with a priceless work of art after a tragic event.
The Giver,Lois Lowry,Dystopian,399,40,In a seemingly perfect society' a young boy discovers the dark truth hidden beneath the surface.
The Night Circus,Erin Morgenstern,Fantasy,549,35,A magical and enchanting competition between two young illusionists in a mysterious circus.
The Pillars of the Earth,Ken Follett,Historical Fiction,499,45,A historical epic set in 12th-century England' featuring the construction of a cathedral.
The Fault in Our Stars,John Green,Young Adult,349,60,A poignant love story between two teenagers who meet at a cancer support
